0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
4.259,9.191,6.302,5.424,0.661,6.701,5.082,26.566,14.929,4.649,7.333,3.740,4.603,0.762,2.661,8.254,19.148,1.825,4.155,3.216,3.378,4.393,7.567,0.262,4.402,1.628,14.712,2.487,2.519,4.192,1.922,4.516,0.624,4.070,1.292,3.127,7.651,5.334,0.604,4.038,4.113,2.184,3.009,1.202,1.007,,,,,,,,,,,,,,
3.451,3.216,1.130,3.057,17.527,4.210,2.964,7.302,3.990,4.243,19.392,3.583,11.085,5.565,1.186,7.468,2.739,7.305,1.032,6.682,1.620,5.672,1.128,2.608,2.192,2.898,15.452,1.371,2.634,6.183,3.203,2.518,3.360,2.521,1.734,6.821,1.127,1.507,4.964,0.642,4.986,2.473,3.527,1.655,1.675,,,,,,,,,,,,,,
4.332,5.505,11.437,8.049,1.997,4.101,2.990,6.575,6.433,11.520,2.069,4.499,14.476,8.978,1.881,3.375,0.584,3.576,1.464,2.228,4.974,6.519,2.907,2.394,2.691,5.146,0.567,3.991,6.030,2.645,2.905,14.832,2.092,1.184,1.608,3.141,5.465,2.147,3.442,2.170,5.331,2.869,1.819,,,,,,,,,,,,,,,,
5.028,2.608,3.245,8.615,3.186,2.847,3.685,2.552,5.525,2.102,2.042,2.210,2.949,2.555,2.808,2.383,2.013,3.540,3.076,2.004,3.627,7.545,10.734,0.388,8.621,3.250,5.291,2.252,7.882,1.928,4.688,3.299,2.589,3.214,4.668,3.464,5.243,0.541,4.217,1.935,4.510,2.379,1.323,,,,,,,,,,,,,,,,
9.275,5.755,4.970,2.898,2.306,8.139,2.166,3.523,3.469,5.980,1.632,8.977,0.361,4.263,4.997,7.242,1.538,13.821,1.596,3.603,1.763,2.859,3.354,2.848,2.795,1.366,5.355,0.361,3.291,1.211,0.956,1.979,3.260,2.775,0.486,2.794,2.958,1.908,5.300,0.390,2.101,3.583,2.253,,,,,,,,,,,,,,,,
13.233,2.274,8.202,12.676,6.366,7.393,8.098,2.810,2.173,5.950,1.201,3.985,1.952,9.118,9.807,6.065,0.524,18.000,2.376,34.622,6.541,1.486,3.636,3.839,3.097,2.707,3.061,0.976,9.564,1.159,5.636,0.559,3.543,2.139,2.499,0.562,4.274,2.493,4.610,1.064,2.837,1.360,1.538,,,,,,,,,,,,,,,,
7.096,17.901,2.348,4.689,3.345,2.918,3.740,4.756,1.200,12.517,3.161,4.183,3.195,5.901,1.733,3.031,11.085,8.525,4.067,0.485,6.618,4.388,3.188,1.675,7.058,3.161,10.000,3.575,2.338,1.432,1.801,6.767,4.694,1.344,4.265,4.307,4.156,1.820,2.450,2.239,1.557,3.811,3.072,1.852,0.389,,,,,,,,,,,,,,
7.211,2.244,2.179,3.485,9.639,9.911,1.943,4.048,15.750,3.974,0.927,5.785,3.088,1.705,1.189,1.665,6.733,5.607,9.191,14.508,1.932,3.137,3.376,0.564,2.608,8.390,4.907,2.769,1.598,2.438,5.807,3.050,1.403,2.767,1.805,2.549,3.348,1.477,2.539,1.485,2.446,2.871,2.591,,,,,,,,,,,,,,,,
8.104,3.627,1.614,9.699,1.759,2.344,1.596,1.800,3.995,11.233,2.520,1.788,3.500,1.663,2.685,5.849,1.102,3.421,8.655,10.823,0.883,1.437,0.941,2.799,14.144,1.517,7.032,3.790,1.479,0.775,5.335,7.423,3.295,0.757,8.031,5.748,2.313,2.828,1.239,2.040,6.090,0.947,2.738,1.491,1.001,3.020,5.151,2.453,0.733,,,,,,,,,,
3.619,2.709,4.124,3.105,8.464,1.288,3.884,1.821,4.092,2.624,2.724,6.508,1.129,3.797,2.935,1.402,8.294,3.062,3.810,3.690,0.488,5.375,4.854,3.936,0.550,3.416,16.581,7.400,0.352,3.525,0.526,4.253,2.524,5.089,5.029,0.332,3.461,5.397,5.171,3.485,1.176,1.830,0.639,,,,,,,,,,,,,,,,
2.590,4.723,2.305,3.501,12.511,10.071,1.625,2.387,4.662,7.960,2.267,4.022,6.375,7.091,1.715,1.951,2.244,2.591,2.336,5.185,0.394,4.078,10.116,7.805,4.454,1.940,5.040,4.046,4.605,1.525,2.793,2.450,4.272,2.888,3.304,5.959,1.418,15.180,0.717,2.025,3.404,2.710,0.686,,,,,,,,,,,,,,,,
8.014,13.919,8.189,18.897,6.130,2.808,12.605,3.973,10.040,26.719,5.285,2.128,3.327,1.182,5.346,2.255,3.714,7.459,0.706,2.638,2.381,3.490,2.025,3.499,3.245,2.659,0.626,9.246,1.791,8.262,2.097,4.480,1.702,2.510,3.450,2.401,2.342,1.379,0.861,4.987,2.611,1.479,1.335,,,,,,,,,,,,,,,,
14.613,6.627,1.793,7.100,3.392,13.015,1.175,3.255,3.688,29.009,2.129,3.006,1.960,14.095,8.108,3.539,7.355,1.419,0.709,3.589,9.591,2.486,3.655,4.359,3.889,7.517,4.750,3.049,2.683,2.751,3.293,5.355,1.484,5.072,2.523,2.423,1.435,2.869,4.297,2.395,4.007,2.084,6.486,0.352,2.261,0.461,,,,,,,,,,,,,
8.086,2.274,2.176,16.112,16.027,3.413,0.754,9.488,34.309,11.375,3.465,3.774,6.919,0.548,18.680,3.226,1.527,4.171,22.199,2.429,1.690,1.212,1.107,7.728,2.306,4.200,2.860,1.534,2.957,1.159,2.747,7.071,1.233,2.734,2.419,2.136,1.634,2.802,4.102,1.074,9.831,1.321,0.493,,,,,,,,,,,,,,,,
9.537,16.668,8.000,2.661,3.897,7.915,1.967,0.555,5.116,12.102,5.157,4.896,1.474,1.345,3.464,27.986,2.277,2.401,3.688,1.388,3.487,2.721,1.769,3.533,2.515,4.495,2.197,2.696,2.703,4.275,2.193,3.077,2.688,1.696,3.988,4.570,2.839,3.804,2.130,0.454,3.258,1.911,0.700,,,,,,,,,,,,,,,,
6.192,1.895,3.413,8.135,5.836,3.675,2.207,9.612,3.933,4.386,0.973,19.130,12.227,0.799,3.208,10.764,2.123,1.634,2.847,4.793,4.494,0.887,2.900,14.088,3.198,0.835,7.385,2.305,1.102,3.483,4.280,5.469,1.058,1.611,3.294,1.471,3.883,0.839,2.951,2.199,3.783,2.151,0.817,,,,,,,,,,,,,,,,
2.976,3.673,4.295,4.626,6.369,2.268,0.539,4.709,6.613,5.665,3.342,7.082,6.356,7.638,11.150,1.836,47.966,1.860,6.949,1.881,1.177,2.796,3.268,21.163,0.415,4.137,1.345,1.666,1.663,1.782,4.120,2.208,3.074,9.710,0.453,6.797,8.021,0.438,5.182,3.042,2.286,3.114,2.593,1.753,0.459,,,,,,,,,,,,,,
4.926,3.567,8.085,10.374,1.271,3.473,2.375,3.198,1.861,10.545,2.165,0.625,3.630,3.584,19.961,0.701,1.988,3.959,1.105,2.713,3.305,3.412,2.658,1.513,7.630,0.879,2.177,4.085,0.973,11.180,3.252,1.453,8.432,0.960,3.138,2.365,9.509,0.920,1.262,3.012,1.186,0.798,4.328,2.040,0.815,,,,,,,,,,,,,,
4.484,1.869,2.913,0.326,5.400,5.298,3.049,8.938,3.963,6.573,8.713,4.916,0.832,5.768,7.581,4.335,0.457,3.463,11.068,0.386,2.815,2.269,2.332,2.104,4.278,15.524,3.066,1.437,1.419,13.432,3.008,3.230,3.618,0.834,2.102,2.944,1.823,0.539,3.639,3.536,3.460,2.259,0.516,,,,,,,,,,,,,,,,
4.033,4.366,2.920,4.874,1.567,2.773,2.276,8.907,5.662,16.384,2.628,9.073,1.634,5.979,2.930,0.669,3.653,17.679,10.656,2.635,6.894,0.518,23.586,5.567,2.442,0.900,12.631,8.549,3.273,4.001,2.789,1.962,3.491,4.605,3.254,2.628,4.888,3.298,3.854,1.125,3.323,2.000,1.694,,,,,,,,,,,,,,,,
3.173,7.619,12.622,15.664,2.259,11.232,1.791,19.758,2.285,6.140,9.670,3.995,0.593,6.787,2.239,2.745,6.702,1.554,2.065,3.302,3.518,2.087,1.153,8.782,3.126,12.195,16.589,1.814,4.241,2.708,9.417,0.896,1.672,1.215,2.065,4.786,9.673,0.504,8.953,0.524,2.598,2.975,0.873,,,,,,,,,,,,,,,,
8.857,1.942,2.965,5.888,8.135,2.788,11.302,3.929,2.338,4.610,0.971,32.323,3.652,5.448,2.318,3.788,2.164,73.248,16.641,1.732,1.386,7.075,1.106,1.775,1.262,4.176,4.321,2.631,2.985,4.998,6.002,9.609,3.028,2.380,9.378,0.955,5.279,0.838,5.609,6.755,1.329,1.203,0.612,,,,,,,,,,,,,,,,
2.511,4.468,2.758,3.039,4.583,1.898,2.930,1.954,2.957,0.319,6.188,1.897,2.580,2.091,2.426,6.485,7.229,3.795,2.605,4.751,2.708,1.142,9.400,3.504,1.386,2.456,3.168,2.241,4.205,2.867,1.191,28.025,0.613,11.817,1.675,4.370,1.133,3.113,4.671,5.130,1.709,1.894,0.477,,,,,,,,,,,,,,,,
4.831,2.066,5.075,2.895,7.108,2.316,3.323,11.913,1.974,6.636,4.293,0.371,2.837,3.182,9.513,2.503,5.976,3.660,2.070,2.672,1.663,5.765,6.310,6.570,2.823,20.356,2.627,3.283,0.397,1.529,1.193,7.742,5.950,6.645,3.609,5.368,0.999,2.138,4.162,10.589,0.565,2.728,1.912,0.843,,,,,,,,,,,,,,,
3.223,2.212,3.540,3.467,4.506,3.001,2.298,12.570,2.652,0.624,5.017,1.110,2.194,6.327,0.480,2.822,2.454,3.867,3.735,13.650,4.102,5.071,3.075,2.325,2.351,1.191,7.162,3.892,2.797,1.445,3.711,2.594,2.147,2.632,3.177,2.696,3.067,3.490,3.506,3.857,5.313,1.173,2.341,0.627,,,,,,,,,,,,,,,
5.650,4.610,7.586,7.232,9.465,9.278,5.045,4.641,1.690,4.680,3.119,1.003,2.918,3.223,2.604,3.593,12.117,0.658,4.327,2.270,15.002,1.746,1.677,5.654,3.681,1.634,3.279,3.125,3.246,5.430,3.472,3.200,1.261,5.953,1.873,3.836,2.872,1.303,6.566,4.124,3.614,1.379,0.922,,,,,,,,,,,,,,,,
2.726,7.314,3.115,1.669,4.776,3.142,4.229,3.874,2.328,34.422,12.842,8.150,1.585,3.228,2.805,0.514,2.570,6.420,1.414,6.737,5.487,2.602,5.630,1.373,1.022,6.602,8.636,2.358,4.387,1.956,2.606,3.900,17.455,1.205,2.205,0.417,5.543,0.531,2.009,2.357,3.059,3.542,1.522,2.062,0.434,,,,,,,,,,,,,,
