date,doks_order,times
10-Feb-23,"[24, 80, 78, 8, 63, 62, 27, 6, 25, 16, 60, 70, 61, 73, 77, 64, 56, 57, 13, 0, 12, 14, 21, 22, 67, 68, 50, 32, 48, 40, 49, 45, 51, 43, 35, 44, 38, 28, 29, 20, 10, 9, 1]","[5.065, 3.135, 3.32, 4.642, 7.739, 3.049, 4.5, 5.458, 3.608, 1.625, 4.421, 5.657, 1.786, 10.051, 3.078, 2.093, 2.187, 4.266, 7.684, 6.162, 3.054, 5.497, 8.575, 0.475, 3.213, 0.5, 4.305, 2.543, 3.331, 2.976, 1.514, 7.239, 2.66, 2.786, 3.258, 1.314, 3.529, 2.975, 1.914, 2.704, 3.599, 2.831, 2.101]"
12-Feb-23,"[3, 31, 53, 24, 17, 6, 8, 12, 5, 4, 20, 71, 51, 29, 50, 48, 52, 77, 68, 76, 58, 57, 62, 60, 80, 70, 79, 73, 64, 65, 63, 19, 18, 9, 11, 36, 27, 37, 38, 43, 39, 34, 30]","[6.876, 8.125, 4.644, 11.966, 4.022, 4.301, 0.65, 10.06, 3.458, 0.637, 13.505, 9.545, 3.028, 8.526, 2.338, 8.226, 2.609, 14.412, 3.94, 3.378, 3.061, 1.654, 3.484, 2.855, 4.212, 5.366, 1.301, 3.481, 2.235, 4.894, 0.727, 3.692, 8.908, 3.176, 1.612, 6.975, 2.597, 5.512, 0.311, 5.326, 1.932, 3.251, 2.005]"
1-Mar-23,"[68, 31, 35, 66, 58, 57, 77, 59, 23, 22, 13, 2, 1, 8, 17, 16, 15, 19, 38, 73, 71, 80, 63, 74, 72, 65, 79, 69, 61, 49, 39, 39, 39, 34, 48, 30, 33, 43, 42, 37, 46, 45, 47, 20, 18]","[6.445, 2.838, 8.987, 5.254, 3.562, 3.471, 5.691, 1.979, 4.275, 5.048, 2.26, 2.336, 3.773, 1.366, 1.573, 1.914, 2.631, 5.872, 4.596, 10.395, 4.39, 8.075, 2.839, 6.476, 1.268, 2.231, 4.673, 3.26, 2.545, 4.449, 5.477, 1.326, 6.064, 8.622, 2.509, 1.07, 3.037, 3.93, 1.668, 5.327, 4.77, 5.49, 0.682, 4.379, 1.115]"
3-Mar-23,"[20, 12, 31, 16, 19, 50, 76, 48, 33, 2, 10, 8, 26, 24, 15, 3, 5, 49, 52, 44, 34, 78, 79, 60, 70, 63, 38, 64, 37, 27, 36, 75, 39, 40, 62, 58, 54, 72, 74, 68, 77, 71, 80]","[12.977, 1.26, 3.406, 6.21, 3.231, 9.47, 19.111, 6.3, 2.321, 12.81, 2.478, 2.654, 1.988, 1.173, 1.072, 5.318, 1.515, 22.447, 3.269, 6.519, 1.053, 2.622, 2.523, 9.155, 3.646, 18.535, 2.632, 5.914, 3.006, 3.288, 2.338, 28.431, 2.107, 1.446, 32.723, 1.824, 0.921, 3.09, 1.51, 9.144, 0.53, 1.588, 1.109]"
4-Mar-23,"[2, 70, 15, 4, 13, 34, 24, 26, 8, 60, 37, 35, 27, 40, 53, 52, 44, 43, 78, 74, 29, 47, 39, 48, 30, 32, 12, 0, 19, 20, 14, 5, 77, 68, 73, 76, 79, 61, 63, 54, 64, 58, 67]","[9.274, 4.969, 4.557, 1.522, 3.98, 11.845, 1.127, 11.005, 0.856, 12.524, 10.629, 3.367, 8.774, 3.575, 2.029, 2.974, 1.704, 1.846, 5.706, 12.64, 4.674, 2.405, 1.725, 2.241, 3.819, 2.052, 3.296, 1.405, 2.514, 1.896, 4.586, 2.779, 6.706, 0.853, 2.297, 16.209, 1.131, 1.101, 2.086, 2.2, 1.581, 1.329, 0.969]"
6-Mar-23,"[10, 63, 61, 76, 46, 72, 71, 56, 74, 65, 80, 6, 11, 19, 44, 24, 2, 20, 4, 8, 26, 25, 52, 34, 23, 14, 39, 12, 13, 58, 59, 57, 78, 79, 45, 36, 28, 27, 33, 32, 50, 48, 51]","[10.633, 2.434, 1.92, 3, 4.918, 6.777, 17.466, 3.118, 5.259, 0.61, 8.824, 2.947, 2.251, 3.034, 14.322, 2.494, 3.084, 1.47, 4.777, 2.326, 8.214, 0.483, 4.504, 4.701, 6.937, 4.866, 2.947, 2.437, 0.39, 6.288, 2.143, 2.398, 4.653, 1.023, 8.77, 4.34, 2.535, 2.004, 9.876, 0.599, 4.441, 3.159, 1.416]"
7-Mar-23,"[20, 46, 43, 55, 55, 70, 53, 24, 75, 50, 5, 4, 21, 23, 26, 15, 63, 76, 67, 49, 36, 0, 1, 2, 2, 10, 27, 54, 56, 52, 47, 37, 28, 30, 32, 66, 33, 42, 44, 61, 17, 16, 80, 78, 79]","[4.259, 9.191, 6.302, 5.424, 0.661, 6.701, 5.082, 26.566, 14.929, 4.649, 7.333, 3.74, 4.603, 0.762, 2.661, 8.254, 19.148, 1.825, 4.155, 3.216, 3.378, 4.393, 7.567, 0.262, 4.402, 1.628, 14.712, 2.487, 2.519, 4.192, 1.922, 4.516, 0.624, 4.07, 1.292, 3.127, 7.651, 5.334, 0.604, 4.038, 4.113, 2.184, 3.009, 1.202, 1.007]"
8-Mar-23,"[12, 22, 22, 25, 27, 45, 10, 7, 34, 36, 64, 47, 29, 38, 28, 72, 11, 16, 13, 50, 49, 40, 32, 42, 33, 70, 78, 6, 8, 59, 68, 77, 54, 73, 56, 75, 80, 71, 67, 66, 22, 21, 18, 0, 3]","[3.451, 3.216, 1.13, 3.057, 17.527, 4.21, 2.964, 7.302, 3.99, 4.243, 19.392, 3.583, 11.085, 5.565, 1.186, 7.468, 2.739, 7.305, 1.032, 6.682, 1.62, 5.672, 1.128, 2.608, 2.192, 2.898, 15.452, 1.371, 2.634, 6.183, 3.203, 2.518, 3.36, 2.521, 1.734, 6.821, 1.127, 1.507, 4.964, 0.642, 4.986, 2.473, 3.527, 1.655, 1.675]"
9-Mar-23,"[21, 72, 24, 71, 58, 3, 13, 19, 64, 56, 67, 30, 76, 37, 0, 10, 1, 4, 14, 16, 26, 69, 68, 48, 49, 50, 41, 53, 44, 33, 42, 61, 8, 7, 80, 79, 75, 77, 74, 54, 27, 38, 29]","[4.332, 5.505, 11.437, 8.049, 1.997, 4.101, 2.99, 6.575, 6.433, 11.52, 2.069, 4.499, 14.476, 8.978, 1.881, 3.375, 0.584, 3.576, 1.464, 2.228, 4.974, 6.519, 2.907, 2.394, 2.691, 5.146, 0.567, 3.991, 6.03, 2.645, 2.905, 14.832, 2.092, 1.184, 1.608, 3.141, 5.465, 2.147, 3.442, 2.17, 5.331, 2.869, 1.819]"
10-Mar-23,"[0, 73, 49, 34, 45, 65, 38, 53, 35, 33, 42, 30, 50, 39, 36, 28, 46, 11, 20, 18, 17, 24, 22, 23, 76, 60, 55, 67, 14, 13, 68, 59, 75, 61, 79, 70, 69, 71, 6, 8, 56, 72, 74]","[5.028, 2.608, 3.245, 8.615, 3.186, 2.847, 3.685, 2.552, 5.525, 2.102, 2.042, 2.21, 2.949, 2.555, 2.808, 2.383, 2.013, 3.54, 3.076, 2.004, 3.627, 7.545, 10.734, 0.388, 8.621, 3.25, 5.291, 2.252, 7.882, 1.928, 4.688, 3.299, 2.589, 3.214, 4.668, 3.464, 5.243, 0.541, 4.217, 1.935, 4.51, 2.379, 1.323]"
12-Mar-23,"[54, 74, 61, 51, 42, 24, 12, 32, 55, 68, 79, 62, 71, 72, 75, 66, 58, 43, 25, 33, 53, 26, 6, 5, 13, 4, 18, 19, 64, 65, 63, 38, 29, 27, 28, 9, 11, 10, 39, 40, 48, 50, 49]","[9.275, 5.755, 4.97, 2.898, 2.306, 8.139, 2.166, 3.523, 3.469, 5.98, 1.632, 8.977, 0.361, 4.263, 4.997, 7.242, 1.538, 13.821, 1.596, 3.603, 1.763, 2.859, 3.354, 2.848, 2.795, 1.366, 5.355, 0.361, 3.291, 1.211, 0.956, 1.979, 3.26, 2.775, 0.486, 2.794, 2.958, 1.908, 5.3, 0.39, 2.101, 3.583, 2.253]"
13-Mar-23,"[29, 19, 65, 59, 42, 79, 58, 80, 43, 34, 7, 15, 8, 44, 27, 45, 46, 9, 3, 11, 14, 10, 2, 1, 18, 72, 56, 54, 78, 77, 68, 67, 69, 62, 33, 35, 40, 39, 49, 48, 22, 23, 21]","[13.233, 2.274, 8.202, 12.676, 6.366, 7.393, 8.098, 2.81, 2.173, 5.95, 1.201, 3.985, 1.952, 9.118, 9.807, 6.065, 0.524, 18, 2.376, 34.622, 6.541, 1.486, 3.636, 3.839, 3.097, 2.707, 3.061, 0.976, 9.564, 1.159, 5.636, 0.559, 3.543, 2.139, 2.499, 0.562, 4.274, 2.493, 4.61, 1.064, 2.837, 1.36, 1.538]"
14-Mar-23,"[61, 37, 34, 80, 24, 13, 4, 16, 16, 73, 63, 47, 19, 18, 1, 17, 16, 43, 42, 51, 48, 45, 29, 36, 30, 41, 49, 66, 14, 23, 12, 76, 67, 77, 54, 55, 74, 56, 79, 60, 71, 32, 31, 7, 8]","[7.096, 17.901, 2.348, 4.689, 3.345, 2.918, 3.74, 4.756, 1.2, 12.517, 3.161, 4.183, 3.195, 5.901, 1.733, 3.031, 11.085, 8.525, 4.067, 0.485, 6.618, 4.388, 3.188, 1.675, 7.058, 3.161, 10, 3.575, 2.338, 1.432, 1.801, 6.767, 4.694, 1.344, 4.265, 4.307, 4.156, 1.82, 2.45, 2.239, 1.557, 3.811, 3.072, 1.852, 0.389]"
16-Mar-23,"[5, 15, 61, 72, 74, 34, 36, 27, 25, 26, 17, 1, 9, 0, 2, 4, 13, 32, 31, 60, 53, 52, 51, 42, 48, 28, 39, 40, 21, 22, 76, 73, 75, 65, 59, 62, 71, 70, 68, 66, 47, 29, 46]","[7.211, 2.244, 2.179, 3.485, 9.639, 9.911, 1.943, 4.048, 15.75, 3.974, 0.927, 5.785, 3.088, 1.705, 1.189, 1.665, 6.733, 5.607, 9.191, 14.508, 1.932, 3.137, 3.376, 0.564, 2.608, 8.39, 4.907, 2.769, 1.598, 2.438, 5.807, 3.05, 1.403, 2.767, 1.805, 2.549, 3.348, 1.477, 2.539, 1.485, 2.446, 2.871, 2.591]"
17-Mar-23,"[73, 39, 29, 72, 20, 22, 6, 53, 69, 71, 54, 47, 45, 45, 45, 1, 19, 2, 7, 15, 26, 21, 21, 21, 64, 63, 78, 60, 79, 80, 42, 35, 44, 34, 41, 50, 48, 31, 32, 58, 66, 68, 59, 59, 59, 57, 13, 12, 14]","[8.104, 3.627, 1.614, 9.699, 1.759, 2.344, 1.596, 1.8, 3.995, 11.233, 2.52, 1.788, 3.5, 1.663, 2.685, 5.849, 1.102, 3.421, 8.655, 10.823, 0.883, 1.437, 0.941, 2.799, 14.144, 1.517, 7.032, 3.79, 1.479, 0.775, 5.335, 7.423, 3.295, 0.757, 8.031, 5.748, 2.313, 2.828, 1.239, 2.04, 6.09, 0.947, 2.738, 1.491, 1.001, 3.02, 5.151, 2.453, 0.733]"
19-Mar-23,"[24, 79, 77, 69, 56, 76, 31, 38, 47, 19, 54, 55, 72, 71, 62, 80, 26, 8, 11, 2, 1, 36, 27, 37, 28, 50, 66, 67, 68, 59, 58, 22, 23, 7, 15, 16, 34, 43, 51, 52, 42, 39, 48]","[3.619, 2.709, 4.124, 3.105, 8.464, 1.288, 3.884, 1.821, 4.092, 2.624, 2.724, 6.508, 1.129, 3.797, 2.935, 1.402, 8.294, 3.062, 3.81, 3.69, 0.488, 5.375, 4.854, 3.936, 0.55, 3.416, 16.581, 7.4, 0.352, 3.525, 0.526, 4.253, 2.524, 5.089, 5.029, 0.332, 3.461, 5.397, 5.171, 3.485, 1.176, 1.83, 0.639]"
21-Mar-23,"[1, 27, 64, 61, 35, 73, 56, 74, 45, 47, 0, 26, 15, 19, 18, 3, 5, 14, 25, 16, 17, 71, 49, 76, 75, 79, 70, 60, 66, 67, 58, 57, 39, 51, 33, 53, 44, 38, 29, 32, 40, 41, 50]","[2.59, 4.723, 2.305, 3.501, 12.511, 10.071, 1.625, 2.387, 4.662, 7.96, 2.267, 4.022, 6.375, 7.091, 1.715, 1.951, 2.244, 2.591, 2.336, 5.185, 0.394, 4.078, 10.116, 7.805, 4.454, 1.94, 5.04, 4.046, 4.605, 1.525, 2.793, 2.45, 4.272, 2.888, 3.304, 5.959, 1.418, 15.18, 0.717, 2.025, 3.404, 2.71, 0.686]"
