0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
1.405,,9.274,,1.522,2.779,,,0.856,,,,3.296,3.98,4.586,4.557,,,,2.514,1.896,,,,1.127,,11.005,8.774,,4.674,3.819,,2.052,,11.845,3.367,,10.629,,1.725,3.575,,,1.846,1.704,,,2.405,2.241,,,,2.974,2.029,2.2,,,,1.329,,12.524,1.101,,2.086,1.581,,,0.969,0.853,,4.969,,,2.297,12.64,,16.209,6.706,5.706,1.131,
,,3.084,,4.777,,2.947,,2.326,,10.633,2.251,2.437,0.39,4.866,,,,,3.034,1.47,,,6.937,2.494,0.483,8.214,2.004,2.535,,,,0.599,9.876,4.701,,4.34,,,2.947,,,,,14.322,8.77,4.918,,3.159,,4.441,1.416,4.504,,,,3.118,2.398,6.288,2.143,,1.92,,2.434,,0.61,,,,,,17.466,6.777,,5.259,,3.0,,4.653,1.023,8.824
4.393,7.567,4.664,,3.74,7.333,,,,,1.628,,,,,8.254,2.184,4.113,,,4.259,4.603,,0.762,26.566,,2.661,14.712,0.624,,4.07,,1.292,7.651,,,3.378,4.516,,,,,5.334,6.302,0.604,,9.191,1.922,,3.216,4.649,,4.192,5.082,2.487,6.085000000000001,2.519,,,,,4.038,,19.148,,,3.127,4.155,,,6.701,,,,,14.929,1.825,,1.202,1.007,3.009
1.655,,,1.675,,,1.371,7.302,2.634,,2.964,2.739,3.451,1.032,,,7.305,,3.527,,,2.473,9.332,,,3.057,,17.527,1.186,11.085,,,1.128,2.192,3.99,,4.243,,5.565,,5.672,,2.608,,,4.21,,3.583,,1.62,6.682,,,,3.36,,1.734,,,6.183,,,,,19.392,,0.642,4.964,3.203,,2.898,1.507,7.468,2.521,,6.821,,2.518,15.452,,1.127
1.881,0.584,,4.101,3.576,,,1.184,2.092,,3.375,,,2.99,1.464,,2.228,,,6.575,,4.332,,,11.437,,4.974,5.331,,1.819,4.499,,,2.645,,,,8.978,2.869,,,0.567,2.905,,6.03,,,,2.394,2.691,5.146,,,3.991,2.17,,11.52,,1.997,,,14.832,,,6.433,,,2.069,2.907,6.519,,8.049,5.505,,3.442,5.465,14.476,2.147,,3.141,1.608
5.028,,,,,,4.217,,1.935,,,3.54,,1.928,7.882,,,3.627,2.004,,3.076,,10.734,0.388,7.545,,,,2.383,,2.21,,,2.102,8.615,5.525,2.808,,3.685,2.555,,,2.042,,,3.186,2.013,,,3.245,2.949,,,2.552,,5.291,4.51,,,3.299,3.25,3.214,,,,2.847,,2.252,4.688,5.243,3.464,0.541,2.379,2.608,1.323,2.589,8.621,,,4.668,
,,,,1.366,2.848,3.354,,,2.794,1.908,2.958,2.166,2.795,,,,,5.355,0.361,,,,,8.139,1.596,2.859,2.775,0.486,3.26,,,3.523,3.603,,,,,1.979,5.3,0.39,,2.306,13.821,,,,,2.101,2.253,3.583,2.898,,1.763,9.275,3.469,,,1.538,,,4.97,8.977,0.956,3.291,1.211,7.242,,5.98,,,0.361,4.263,,5.755,4.997,,,,1.632,
,3.839,3.636,2.376,,,,1.201,1.952,18.0,1.486,34.622,,,6.541,3.985,,,3.097,2.274,,1.538,2.837,1.36,,,,9.807,,13.233,,,,2.499,5.95,0.562,,,,2.493,4.274,,6.366,2.173,9.118,6.065,0.524,,1.064,4.61,,,,,0.976,,3.061,,8.098,12.676,,,2.139,,,8.202,,0.559,5.636,3.543,,,2.707,,,,,1.159,9.564,7.393,2.81
,1.733,,,3.74,,,1.852,0.389,,,,1.801,2.918,2.338,,17.041,3.031,5.901,3.195,,,,1.432,3.345,,,,,3.188,7.058,3.072,3.811,,2.348,,1.675,17.901,,,,3.161,4.067,8.525,,4.388,,4.183,6.618,10.0,,0.485,,,4.265,4.307,1.82,,,,2.239,7.096,,3.161,,,3.575,4.694,,,,1.557,,12.517,4.156,,6.767,1.344,,2.45,4.689
1.705,5.785,1.189,,1.665,7.211,,,,3.088,,,,6.733,,2.244,,0.927,,,,1.598,2.438,,,15.75,3.974,4.048,8.39,2.871,,9.191,5.607,,9.911,,1.943,,,4.907,2.769,,0.564,,,,2.591,2.446,2.608,,,3.376,3.137,1.932,,,,,,1.805,14.508,2.179,2.549,,,2.767,1.485,,2.539,,1.477,3.348,3.485,3.05,9.639,1.403,5.807,,,,
,5.849,3.421,,,,1.596,8.655,,,,,2.453,5.151,0.733,10.823,,,,1.102,1.759,5.177,2.344,,,,0.883,,,1.614,,2.828,1.239,,0.757,7.423,,,,3.627,,8.031,5.335,,3.295,7.848000000000001,,1.788,2.313,,5.748,,,1.8,2.52,,,3.02,2.04,5.23,3.79,,,1.517,14.144,,6.09,,0.947,3.995,,11.233,9.699,8.104,,,,,7.032,1.479,0.775
,0.488,3.69,,,,,5.089,3.062,,,3.81,,,,5.029,0.332,,,2.624,,,4.253,2.524,3.619,,8.294,4.854,0.55,,,3.884,,,3.461,,5.375,3.936,1.821,1.83,,,1.176,5.397,,,,4.092,0.639,,3.416,5.171,3.485,,2.724,6.508,8.464,,0.526,3.525,,,2.935,,,,16.581,7.4,0.352,3.105,,3.797,1.129,,,,1.288,4.124,,2.709,1.402
2.267,2.59,,1.951,,2.244,,,,,,,,,2.591,6.375,5.185,0.394,1.715,7.091,,,,,,2.336,4.022,4.723,,0.717,,,2.025,3.304,,12.511,,,15.18,4.272,3.404,2.71,,,1.418,4.662,,7.96,,10.116,0.686,2.888,,5.959,,,1.625,2.45,2.793,,4.046,3.501,,,2.305,,4.605,1.525,,,5.04,4.078,,10.071,2.387,4.454,7.805,,,1.94,
,,8.262,,10.04,,3.499,2.025,0.626,,,9.246,2.808,1.791,,,,2.659,,8.189,2.097,1.379,0.861,,3.245,,,0.706,,,,2.342,6.13,,,3.49,,,1.702,2.51,,,,2.638,8.014,7.459,,4.48,,3.45,2.401,18.897,2.381,,,3.714,,2.611,,1.479,1.182,,,13.919,5.346,,26.719,,12.605,3.327,2.128,5.285,2.255,,,4.987,,1.335,,3.973,
,,,3.688,,,1.175,,7.1,4.297,2.395,3.255,,8.108,4.298,,3.392,,7.355,3.539,,14.095,,1.419,,13.015,,,3.655,,3.889,,,,2.751,5.355,,2.486,3.049,,,15.937000000000001,1.96,4.75,,29.009,,2.683,4.359,,,,1.484,3.293,4.007,2.129,2.084,,14.613,,1.435,,,,,,,6.486,0.352,3.006,5.072,,2.869,,9.591,,0.461,2.261,2.423,,2.523
,,,,0.754,,3.413,,16.027,,2.802,1.074,2.429,,,,1.107,,,1.634,4.102,,1.69,,1.212,,,3.774,,2.274,11.375,,2.306,,7.728,4.171,,18.68,3.226,,,2.86,4.2,,,6.919,,1.527,3.465,8.086,1.534,,2.957,1.159,0.548,2.419,2.136,9.831,34.309,,,,,9.488,,,,1.233,,16.112,7.071,,,2.176,,1.321,0.493,22.199,,2.734,2.747
,,,3.988,2.688,1.696,,4.57,,1.388,,3.688,2.277,,4.275,,2.839,,,27.986,2.401,,,,3.804,2.13,0.454,,1.474,,12.102,,4.896,5.157,,,,1.345,,,3.464,,,8.0,,,16.668,,,2.193,3.077,0.7,3.258,1.911,2.721,,,2.703,5.116,2.696,,,7.915,1.769,,3.487,4.495,2.515,,3.897,,1.967,,9.537,3.533,2.197,,,2.661,,0.555
2.305,3.675,,0.887,,,,,14.088,7.385,,9.612,,,10.764,,0.835,3.198,1.102,,,2.847,4.793,4.494,,2.9,,,,0.799,0.817,3.783,,,3.208,6.192,,2.207,19.13,,,,2.199,,2.951,,5.836,12.227,2.151,3.413,1.895,,,,5.469,3.483,,,,,1.471,1.611,3.933,,4.28,4.386,,2.123,1.634,3.294,,,1.058,,,0.973,,8.135,3.883,0.839,
,11.15,,,5.665,,5.707,2.286,,1.836,,,2.208,,,,9.71,0.453,,,2.976,,4.12,1.663,3.074,,,2.796,,,47.966,,,1.753,0.459,6.949,3.058,,6.356,,3.268,,,,1.86,4.709,,7.082,1.782,1.666,7.638,,,6.613,,3.673,,1.345,,4.137,3.042,,5.182,,4.626,6.369,3.342,21.163,0.415,,,,4.295,0.539,2.268,,,,8.021,0.438,6.797
,,,1.861,,3.198,,3.473,,10.545,3.584,4.926,,,,,12.27,,,3.63,3.567,,,2.375,,2.165,,8.085,,0.96,8.432,,,1.453,3.252,1.513,2.658,,,,,0.973,4.085,,0.879,2.365,,2.177,3.138,3.412,11.18,,,2.713,1.186,0.701,,,4.328,,0.92,1.105,,0.798,,,2.04,,3.959,1.262,1.988,7.63,,19.961,9.509,,0.815,3.012,3.305,,
