0,15,0,0,7,0,0,26,4,0,0,0,3,0,0,0,5,12,3,0,0,0,0,30,0,0,0,0,0,23,0,10,8,0,0,0,6,0,0,0,0,2,17,16,0,11,0,12,0,7,0,1,0,0,11,36,38,0,0,0,20,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,8,0,5,0
14,0,10,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,4,2,0,0,0,10,2,26,27,0,2,0,0,0,0,0,0,0,0,4,0,24,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,15,18,0,16,0,0,29,11,0,5,0,38,17,0,32,0,33,27,0,0,0,0
0,0,6,0,0,0,7,19,0,0,0,0,7,9,14,0,0,0,0,17,0,1,0,0,0,0,11,0,0,3,0,0,5,0,34,0,0,0,0,0,0,35,31,0,12,2,0,12,24,0,0,0,0,0,0,0,0,24,34,4,1,0,0,16,15,0,4,0,1,0,0,0,0,0,0,0,0,0,0,29,9
0,3,2,0,0,0,0,13,2,0,0,10,0,0,0,17,1,0,0,0,0,0,4,3,0,0,0,10,4,0,0,0,0,0,14,0,0,0,0,1,0,0,6,0,0,0,0,0,3,0,0,0,40,0,11,2,0,0,1,4,0,0,0,0,0,0,0,24,1,0,0,0,13,0,0,0,0,0,0,0,16
0,1,0,0,0,17,0,0,0,0,0,0,0,0,18,13,20,1,15,14,0,0,0,0,0,19,0,2,0,1,0,0,1,35,0,0,0,0,38,1,10,4,0,0,1,0,0,0,0,0,7,11,0,27,0,0,7,4,31,0,28,0,0,0,0,0,0,8,0,0,7,0,0,6,8,0,24,0,0,6,0
0,0,3,0,0,0,10,2,5,0,0,0,0,3,0,0,0,0,0,0,6,0,2,0,12,0,0,1,0,0,0,37,0,0,0,3,0,0,14,1,0,0,0,0,0,2,0,0,0,0,29,0,3,0,0,17,0,3,0,25,1,0,0,0,2,0,0,0,0,13,0,0,0,0,0,24,0,7,0,0,0
0,0,0,9,0,0,7,0,0,1,17,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,32,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,4,31,4,0,14,0,0,0,26,0,0,0,0,0,0,43,10,0,1,0,21,0,0,0,8,24,0,0,3
0,0,0,0,7,0,0,0,0,0,18,20,13,0,0,0,1,0,0,37,3,0,14,0,1,0,0,12,0,0,0,0,1,0,0,18,0,0,16,0,0,1,4,0,0,2,0,4,11,0,3,0,0,4,1,0,20,22,0,0,0,0,0,8,0,0,0,26,0,0,0,0,0,0,0,23,10,0,0,11,26
0,0,0,6,18,2,0,1,0,20,0,0,0,0,30,0,17,0,0,2,0,0,0,0,38,39,1,0,13,0,0,0,12,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,2,38,2,36,0,0,0,7,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,6,10,0,0,0,0,7
28,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,11,0,9,0,0,0,20,3,0,2,0,0,0,1,43,24,0,0,15,0,0,0,12,0,0,0,4,0,15,0,0,13,42,3,0,0,0,0,0,23,0,0,0,0,4,8,0,0,24,0,0,17,2,4,0,0,5,0,0,0,0,0,0,5,0
0,8,0,0,0,0,2,0,0,16,0,0,2,0,0,0,18,1,0,0,0,0,3,4,4,0,0,3,0,0,0,0,0,2,7,2,0,0,12,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,7,0,30,0,4,0,0,0,25,0,0,0,0,7,0,0,0,0,0,4,1
0,0,0,9,0,8,0,0,0,0,10,1,0,0,0,0,0,0,0,6,2,0,0,0,0,7,0,0,0,1,1,0,0,11,27,24,23,0,0,0,0,21,7,0,1,14,0,0,2,0,22,0,0,0,0,1,0,0,43,0,0,3,0,3,0,0,9,0,0,14,0,5,0,15,22,0,45,25,0,0,0
3,1,0,0,6,5,0,0,0,0,0,0,0,17,0,1,16,14,0,0,0,3,0,0,0,0,0,13,0,2,2,0,0,1,0,0,24,0,2,0,0,24,0,0,0,0,0,18,19,0,0,12,0,0,0,0,0,2,20,0,5,0,10,1,19,1,0,10,20,0,0,0,0,1,0,0,18,6,0,8,2
0,1,0,20,1,0,1,0,0,2,2,0,0,0,0,3,5,0,0,0,0,0,21,1,21,0,0,0,0,14,18,0,11,0,0,0,0,0,0,0,0,19,0,13,1,0,0,0,0,0,16,0,0,9,0,0,0,0,3,0,3,0,0,0,0,0,1,8,0,0,0,0,0,0,5,0,0,4,0,22,0
0,0,17,3,0,0,0,0,0,0,18,0,3,0,0,4,0,23,4,0,0,2,4,11,0,0,0,0,0,16,0,0,0,0,0,12,0,0,9,13,0,26,0,0,12,5,0,0,0,6,1,0,0,0,0,0,0,2,0,0,7,8,0,3,0,0,0,4,1,0,0,16,0,28,0,0,0,0,14,7,0
0,0,0,6,3,1,0,0,0,10,0,1,0,0,0,12,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,3,0,7,0,0,0,1,0,6,2,0,0,20,0,1,0,0,0,0,12,7,0,2,4,0,2,0,0,0,0,0,0,0,15,0,5,1,13,4,0,0,0,0,0
